,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
5298,113687456,5649440,20160226,202200,203200,202300,202400,202500,202600,202700,202800,202900,203000,200,1000,22000,8800,4600,6600,7400,11400,16600,29700,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,4700,1700,13500,9100,39100,31200,1000,5000,600,700,204500,220700,0,197200,180500,202100,5466,203300,200600,0,0,0,0,101027490,1986221,1569860,214300,191400,0,'002099','002099.SZ','0D10:10:32.053839000'
5308,113782443,5654140,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,27500,29900,2500,22000,8800,4600,6600,7400,11400,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,13500,4800,9100,39100,31200,1000,5000,600,700,1700,204500,220700,0,197200,180500,202100,5472,203300,200600,0,0,0,0,101030780,2015621,1565160,214100,191400,0,'002099','002099.SZ','0D10:10:35.074317000'
5318,113782443,5654140,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,27800,29900,2500,21000,8600,4600,6600,7400,11400,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,13500,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202100,5472,203300,200600,0,0,0,0,101034350,2014721,1564660,214100,191400,0,'002099','002099.SZ','0D10:10:37.958638000'
5328,113871367,5658540,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,23400,29900,2500,18700,8600,4600,6600,7400,11400,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,13500,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202100,5475,203300,200600,0,0,0,0,101037260,2009021,1563460,214100,191300,0,'002099','002099.SZ','0D10:10:41.026922000'
5338,113905709,5660240,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,23200,29900,4500,17900,8200,4600,6600,7400,11400,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,12000,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202000,5478,203300,200600,0,0,0,0,101040050,2010921,1561960,214100,191300,0,'002099','002099.SZ','0D10:10:44.043324000'
5348,113950155,5662440,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,22200,30700,4500,17900,8200,4600,6600,7400,11400,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,10400,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202000,5483,203300,200600,0,0,0,0,101043500,2010921,1560160,214100,191300,0,'002099','002099.SZ','0D10:10:47.047961000'
5358,113980459,5663940,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,24400,30700,4500,17900,8000,4100,6600,7400,11400,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,9300,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202000,5486,203300,200600,0,0,0,0,101046280,2018421,1559160,214100,191300,0,'002099','002099.SZ','0D10:10:50.026453000'
5368,114053179,5667540,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,24400,30700,4500,16900,8500,4100,6600,7400,10900,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,5700,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202000,5489,203300,200600,0,0,0,0,101048910,2018021,1555560,214100,191300,0,'002099','002099.SZ','0D10:10:53.028086000'
5378,114115804,5670640,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,23900,30700,4500,16900,8500,4100,6600,7400,10900,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,3100,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202000,5495,203300,200600,0,0,0,0,101051770,2017121,1552960,214100,191300,0,'002099','002099.SZ','0D10:10:56.060180000'
5388,114146104,5672140,20160226,202100,203000,202200,202300,202400,202500,202600,202700,202800,202900,24900,31500,1500,16900,8500,4100,6600,7400,10900,16600,202000,201000,201900,201800,201700,201600,201500,201400,201200,201100,2900,4800,9100,39100,31200,1000,4500,600,700,1700,204500,220700,0,197200,180500,202000,5500,203300,200600,0,0,0,0,101054720,2015321,1552760,214100,191300,0,'002099','002099.SZ','0D10:10:59.059283000'
